player.playerId,player.player.player.givenName,player.player.player.surname,ID
CD_I296211,Lewis,Taylor,12252
CD_I296296,Dom,Sheed,12253
CD_I294178,Angus,Dewar,12254
CD_I296347,Josh,Kelly,12255
CD_I296209,Kade,Kolodjashnij,12256
CD_I261236,Daniel,Currie,12257
CD_I297401,Matt,Crouch,12258
CD_I294470,Jason,Ashby,12259
CD_I990704,Patrick,Cripps,12261
CD_I290722,Sam,Gray,12262
CD_I290073,Sam,Lloyd,12263
CD_I297258,Nick,Robertson,12264
CD_I297406,Tom,Cutler,12265
CD_I296269,Darcy,Gardiner,12267
CD_I295342,Jake,Lloyd,12268
CD_I297373,Marcus,Bontempelli,12269
CD_I296367,Tom,Boyd,12270
CD_I290781,Mitch,Hallahan,12271
CD_I296359,Christian,Salem,12272
CD_I294859,Jeremy,McGovern,12273
CD_I296198,Billy,Hartung,12274
CD_I291607,Ben,Newton,12275
CD_I296294,Blake,Acres,12276
CD_I990609,Charles,Cameron,12277
CD_I293883,Jed,Bews,12278
CD_I296357,Ben,Lennon,12279
CD_I990740,Rory,Lobb,12282
CD_I293479,Cameron,Ellis-Yolmen,12283
CD_I293035,Tim,Broomhead,12284
CD_I296439,Darcy,Lang,12286
CD_I291949,Shane,Kersten,12287
CD_I991988,Zak,Jones,12288
CD_I291867,Ben,Brown,12289
CD_I297504,Daniel,McStay,12291
CD_I296369,Mitch,Honeychurch,12293
CD_I297362,Dom,Barry,12294
CD_I991917,Michael,Apeness,12295
CD_I292030,Jack,Redpath,12296
CD_I295695,Dean,Towers,12297
CD_I294596,Tim,Membrey,12300
CD_I995219,Ciaran,Sheehan,12301
CD_I296334,Orazio,Fantasia,12302
CD_I992499,Kayne,Turner,12304
CD_I294536,Jonathan,Freeman,12305
CD_I297456,Nick,Holman,12307
CD_I295827,Jackson,Ramsay,12308
CD_I296322,Jack,Leslie,12309
CD_I294172,Corey,Gault,12311
CD_I295340,Mason,Wood,12312
CD_I298144,Sam,Naismith,12313
CD_I995192,Cam,McCarthy,12315
CD_I294592,Kamdyn,McIntosh,12317
CD_I994185,Jordan,De Goey,12318
CD_I298336,Nakia,Cockatoo,12319
CD_I296161,Cory,Gregson,12320
CD_I296324,Jesse,Hogan,12321
CD_I298279,Angus,Brayshaw,12322
CD_I297990,Aaron,vandenBerg,12323
CD_I992000,Jack,Lonie,12324
CD_I994389,Jack,Sinclair,12325
CD_I298539,Isaac,Heeney,12326
CD_I298298,Jackson,Nelson,12328
CD_I295461,Adam,Saad,12330
CD_I298272,Touk,Miller,12331
CD_I297566,James,Sicily,12332
CD_I290032,Kane,Lambert,12333
CD_I298268,Liam,Duggan,12334
CD_I297473,Jake,Kelly,12335
CD_I995121,Ciaran,Byrne,12336
CD_I298307,Lukas,Webb,12337
CD_I291947,Brendon,Ah Chee,12338
CD_I298312,Paddy,McCartin,12339
CD_I996059,Harris,Andrews,12340
CD_I295199,Blaine,Boekhorst,12341
CD_I296035,Trent,Dumont,12343
CD_I296306,Nathan,Drummond,12344
CD_I291929,Fraser,McInnes,12345
CD_I991953,Corey,Ellis,12346
CD_I294291,Henry,Schade,12348
CD_I298630,Kyle,Langford,12349
CD_I298265,Daniel,McKenzie,12350
CD_I298281,Jake,Lever,12351
CD_I298409,Alex,Pearce,12352
CD_I297139,Billy,Stretch,12353
CD_I996708,Bailey,Dale,12354
CD_I294591,Liam,McBean,12355
CD_I992015,Connor,Menadue,12356
CD_I297354,Karl,Amon,12357
CD_I296270,Liam,Dawson,12358
CD_I295222,Joel,Hamling,12359
CD_I992462,Daniel,Howe,12360
CD_I294638,Daniel,Robinson,12361
CD_I290889,Keegan,Brooksby,12362
CD_I996483,Toby,McLean,12363
CD_I298289,Peter,Wright,12366
CD_I296420,Alex,Neal-Bullen,12367
CD_I296205,Jack,Steele,12368
CD_I298302,Caleb,Marchbank,12369
CD_I296291,Jake,Kolodjashnij,12370
CD_I992010,Brayden,Maynard,12371
CD_I298288,Darcy,Moore,12372
CD_I295136,Caleb,Daniel,12373
CD_I298174,Toby,Nankervis,12374
CD_I295103,Riley,Knight,12375
CD_I298280,Jayden,Laverde,12377
CD_I297899,James,Harmes,12379
CD_I294472,Rory,Atkins,12381
CD_I298316,Hugh,Goddard,12382
CD_I990290,Tom,Barrass,12383
CD_I295012,Matthew,Scharenberg,12384
CD_I298524,Lachie,Weller,12385
CD_I990548,Jonathon,Marsh,12386
CD_I992450,Billy,Evans,12387
CD_I994460,Jason,Holmes,12388
CD_I297107,James,Rose,12389
CD_I992054,Roarke,Smith,12390
CD_I997846,Conor,McKenna,12391
CD_I991939,Zaine,Cordy,12392
CD_I298264,Ed,Langdon,12393
CD_I992472,Oscar,McDonald,12394
CD_I996580,Ethan,Hughes,12395
CD_I993192,Brady,Grey,12396
CD_I298450,Connor,Blakely,12397
CD_I992075,Mitch,White,12399
CD_I296214,Jake,Barrett,12400
CD_I993832,Jacob,Weitering,12402
CD_I1000981,Daniel,Rioli,12403
CD_I297255,Mitch,McGovern,12404
CD_I990882,Wayne,Milera,12405
CD_I993817,Darcy,Parish,12406
CD_I294092,Anthony,McDonald-Tipungwuti,12407
CD_I993834,Josh,Dunkley,12408
CD_I294168,Marcus,Adams,12409
CD_I996701,Clayton,Oliver,12410
CD_I294036,George,Hewett,12411
CD_I996765,Tom,Papley,12412
CD_I993905,Callum,Mills,12413
CD_I298437,Callum,Ah Chee,12414
CD_I298421,Jade,Gresham,12415
CD_I993841,Josh,Schache,12416
CD_I298290,Marc,Pittonet,12417
CD_I992049,Jayden,Short,12418
CD_I294077,Michael,Hartley,12419
CD_I993480,Dougal,Howard,12420
CD_I996731,Charlie,Curnow,12421
CD_I991930,Darcy,Byrne-Jones,12422
CD_I298266,Matthew,Goodyear,12423
CD_I294675,Josh,Wagner,12424
CD_I291473,Tom,Ruggles,12425
CD_I993816,Darcy,Tucker,12426
CD_I294650,Josh,Smith,12427
CD_I998647,Mason,Cox,12428
CD_I993960,Kieran,Lovell,12429
CD_I298210,Christian,Petracca,12430
CD_I991933,Jason,Castagna,12431
CD_I296284,Mackenzie,Willis,12432
CD_I294469,Aliir,Aliir,12433
CD_I993946,Ben,Keays,12434
CD_I295156,Kaiden,Brand,12435
CD_I993796,Ben,Crocker,12436
CD_I997078,Mason,Redman,12437
CD_I996464,Darcy,MacPherson,12438
CD_I298620,Jack,Hiscox,12439
CD_I993903,Jacob,Hopper,12440
CD_I992351,Bailey,Williams,12441
CD_I993840,Kieran,Collins,12442
CD_I993828,Rhys,Mathieson,12443
CD_I295446,Sam,Collins,12444
CD_I296840,Harry,Marsh,12445
CD_I993820,Tom,Cole,12446
CD_I993859,Kade,Stewart,12447
CD_I296312,Jarrad,Jansen,12448
CD_I996064,Jesse,Joyce,12449
CD_I298091,Logan,Austin,12450
CD_I294621,Lewis,Pierce,12451
CD_I996487,Tom,Phillips,12452
CD_I993940,Corey,Wagner,12453
CD_I993953,Eric,Hipwood,12454
CD_I1001398,Matthew,Kennedy,12455
CD_I295203,Nathan,Broad,12456
CD_I298535,Matthew,Hammelmann,12457
CD_I1001028,Jack,Silvagni,12458
CD_I298358,Oleg,Markov,12459
CD_I998256,Reuben,William,12460
CD_I996442,Ryan,Clarke,12461
CD_I993107,Harry,Himmelberg,12462
CD_I994607,Shane,Yarran,12463
CD_I294199,Sam,Menegola,12464
CD_I298112,Jordan,Foote,12465
CD_I998511,Josh,Schoenfeld,12466
CD_I990816,Aaron,Francis,12467
CD_I1001448,Rupert,Wills,12468
CD_I993794,Blake,Hardwick,12469
CD_I291517,Adam,Marcon,12470
